reaction_id,flux_mmol_gDW_h
MOD_3mop,0.0
MOD_4mop,0.0
OIVD3m,0.0
PYDXO,0.0
sink_7dhporiferasterol_c,0.0
ERG4_7ENOL,0.0
ERG4_7DEHYD,0.0
CYP710_ERG5,0.0
STE1_ERG3,0.0
SMT1_CROSS,0.0
C4DEMETH_BRANCH,0.0
SMT1_2ND,0.0
CDI1_BRANCH,0.0
Biomass_Chlamy_hetero,0.0
Biomass_Chlamy_mixo,0.0
Biomass_Chlamy_auto,0.0
PYDXS,0.0
PYDXPP,0.0
PYDXNO,0.0
BCTA,0.0
PYDXNK,0.0
PYDXK,0.0
PYDXDH,0.0
PYDAMK,0.0
PYAMPP,0.0
PYAM5PO,0.0
PDXPP,0.0
PDX5POi,0.0
PYDXOR,0.0
BCTA_val_h,0.0
BCTA_val,0.0
BCTAh,0.0
BCTA_glu_h,0.0
BCTA_glu,0.0
LEUTL,0.0
KARI_23dhmb,0.0
PAPSPAPtm,0.0
NH4tn,0.0
AMETtn,0.0
AMPtn,0.0
APStn,0.0
GMPtn,0.0
H2O2tn,0.0
H2Otn,0.0
O2tnr,0.0
IPMS,0.0
PItn,0.0
SO4tn,0.0
UDPtn,0.0
NADtn,0.0
UDPGtni,0.0
ACAROtu,0.0
AHCYStn,0.0
2DHPtn,0.0
GALTLtm,0.0
TSULtm,0.0
SPMDtmi,0.0
PTRCtmi,0.0
NADHtm,0.0
HCO3_h_tmi,0.0
GLU4ABUTtmi,0.0
GLNtm,0.0
FORtmi,0.0
ATP_3h_tm,0.0
ACSERtmi,0.0
4ABUTtmi,0.0
SO3tm,0.0
CYStm,0.0
DHAPtm,0.0
CAROtu,0.0
CHLAtu,0.0
CHLDBtu,0.0
HPPD,0.0
IMDH,0.0
ILETL,0.0
DHADh,0.0
DHAD_3mob_h,0.0
DHAD_3mob,0.0
DHAD,0.0
ACAS_2ahbut,0.0
KARI_3hmoa,0.0
KARI,0.0
IMDHT_3c2hmp,0.0
IMDHT,0.0
ALPHm,0.0
MAAIn,0.0
MAAI,0.0
HGDO,0.0
GCAROtu,0.0
FAA,0.0
TAT,0.0
34HPPYRI,0.0
TRP23OR,0.0
ASCBtu,0.0
PPItu,0.0
PDPtu,0.0
O2trhu,0.0
NADPtu,0.0
NADPHtu,0.0
MG2tu,0.0
GTHRDtu,0.0
GTHOXtu,0.0
GGDPtu,0.0
PE1819Z1829Z12Zt,0.0
PE1819Z1819Zt,0.0
PE18111Z1845Z9Z12Z15Zt,0.0
PPCK,0.0
ICDH_nad,0.0
PCr,0.0
MDHf,0.0
ICDHhr,0.0
SUCLm,0.0
SUCDHm,0.0
DEDOLDPS,0.0
STARCH300DEGRB,0.0
DEDOLDPSAT,0.0
TTCGGDPS,0.0
SPPS1,0.0
SPPS2,0.0
AMPMPFL,0.0
AMPMPPT,0.0
MDH_nadp_fi,0.0
ICDHm,0.0
CSm,0.0
AKGDHmi,0.0
SUCL_gdp_m,0.0
AKGDHe2r,0.0
ACONTx,0.0
ACONT,0.0
SULRi,0.0
SULR_ferr,0.0
SULOm,0.0
SULO,0.0
BPNT2,0.0
ARSO4SH,0.0
TSULc,0.0
MM2,0.0
PAPSPHENST,0.0
TTS,0.0
ADPEMTCH,0.0
AMPMPPMT,0.0
ALABth,0.0
FADH2th,0.0
FA1819Zh,0.0
FA18111Zh,0.0
FA180h,0.0
FA1619Zh,0.0
FA160h,0.0
ETOHth,0.0
DMPPth,0.0
DHAP_pi_thr,0.0
CYSth,0.0
ASPSAth,0.0
ASPNA1th,0.0
AMETt2h,0.0
AMETAMth,0.0
AKGMALth,0.0
MHETK,0.0
AIRth,0.0
6PGLthr,0.0
5MTAth,0.0
4ABUTth,0.0
3MOBth,0.0
3C3HMPth,0.0
2PGth,0.0
2PGLYCth,0.0
23DHMPth,0.0
23DHMBth,0.0
1ACPCth,0.0
TMDPH,0.0
THMPPPT,0.0
TMDPT,0.0
STARCH300S,0.0
STARCH300DEGRA,0.0
PE18111Z1835Z9Z12Zt,0.0
PRISM_solar_litho,0.0
SELTORm,0.0
SUCHMSSELCYSL,0.0
SUCHMSSELCYSLh,0.0
SECYSTL,0.0
